symbol	ensg	mapped	log_ppm
S100A4	ENSG00000196154	True	2.3820170425748683
PLGLB1		False	2.3820170425748683
PLGLB2		False	2.3820170425748683
PSMA4	ENSG00000041357	True	2.3820170425748683
RPL13A	ENSG00000142541	True	2.3820170425748683
IGFBP4	ENSG00000141753	True	2.3783979009481375
PCBP1	ENSG00000169564	True	2.376576957056512
EEF1G	ENSG00000254772	True	2.376576957056512
RPS15A	ENSG00000134419	True	2.374748346010104
HNRNPAB	ENSG00000197451	True	2.374748346010104
C1QC	ENSG00000159189	True	2.3729120029701067
YBX1	ENSG00000065978	True	2.3729120029701067
RPL11	ENSG00000142676	True	2.3729120029701067
C2	ENSG00000166278	True	2.3710678622717363
COX6C	ENSG00000164919	True	2.3710678622717363
RPL8	ENSG00000161016	True	2.367355921026019
DEFA1B	ENSG00000240247	True	2.367355921026019
DEFA1	ENSG00000206047	True	2.367355921026019
DEFA3	ENSG00000239839	True	2.367355921026019
SERPINA6	ENSG00000170099	True	2.367355921026019
PRDX5	ENSG00000126432	True	2.367355921026019
ECHS1	ENSG00000127884	True	2.367355921026019
AHCY	ENSG00000101444	True	2.3654879848909
IDH3A	ENSG00000166411	True	2.3636119798921444
SLC25A6	ENSG00000169100	True	2.361727836017593
RAD23B	ENSG00000119318	True	2.361727836017593
ETFA	ENSG00000140374	True	2.361727836017593
CD59	ENSG00000085063	True	2.359835482339888
RHOC	ENSG00000155366	True	2.359835482339888
COX4I1	ENSG00000131143	True	2.359835482339888
CSH1	ENSG00000136488	True	2.357934847000454
CSH2	ENSG00000213218	True	2.357934847000454
MYL6B	ENSG00000196465	True	2.357934847000454
COL6A3	ENSG00000163359	True	2.357934847000454
CAPN1	ENSG00000014216	True	2.3560258571931225
STMN1	ENSG00000117632	True	2.3541084391474008
CAV1	ENSG00000105974	True	2.3541084391474008
MACROH2A2	ENSG00000099284	True	2.3521825181113627
EEF1D	ENSG00000104529	True	2.3521825181113627
HNRNPF	ENSG00000169813	True	2.3521825181113627
CYB5A	ENSG00000166347	True	2.3502480183341627
C5	ENSG00000106804	True	2.3502480183341627
MYH7	ENSG00000092054	True	2.3502480183341627
MAPRE2	ENSG00000166974	True	2.3502480183341627
