platform	arm	feature_id	uniprot	gene	ensg	n_samples	det_rate	det_rate_TDR1	det_rate_TDR4	mean_value	mean_value_detected	n_sequences	n_proteotypic	present	present_TDR1	present_TDR4
SomaScan	Media	29568-12	Q7Z5L0	VMO1	ENSG00000182853	10.0	1.0	1.0	1.0	8.090019488866973	8.090019488866973			1	1	1
SomaScan	Media	29569-111	Q13275	SEMA3F	ENSG00000001617	10.0	0.1	0.2	0.0	8.555620925938596	8.683345561676575			0	0	0
SomaScan	Media	29570-8	P15502	ELN	ENSG00000049540	10.0	1.0	1.0	1.0	7.315871301514155	7.315871301514155			1	1	1
SomaScan	Media	29571-4	Q99218	AMELY		10.0	0.0	0.0	0.0	4.627183335916169				0	0	0
SomaScan	Media	29572-35	P47710	CSN1S1	ENSG00000126545	10.0	1.0	1.0	1.0	8.891346160171114	8.891346160171114			1	1	1
SomaScan	Media	29573-15	A6NFZ4	FAM24A	ENSG00000203795	10.0	0.0	0.0	0.0	8.341968152882043				0	0	0
SomaScan	Media	29575-81	Q99217	AMELX	ENSG00000125363	10.0	0.0	0.0	0.0	9.20753057934299				0	0	0
SomaScan	Media	29576-176	Q8TAG5	VSTM2A	ENSG00000170419	10.0	0.5	0.2	0.8	8.706015116507919	8.754494773884158			0	0	1
SomaScan	Media	29577-11	Q05707	COL14A1	ENSG00000187955	10.0	1.0	1.0	1.0	10.391683010055889	10.391683010055889			1	1	1
SomaScan	Media	29578-11	Q8N2X6	EXOC3-AS1		10.0	0.0	0.0	0.0	6.35477124251357				0	0	0
SomaScan	Media	29582-68	Q11206	ST3GAL4	ENSG00000110080	10.0	1.0	1.0	1.0	8.602274694545537	8.602274694545537			1	1	1
SomaScan	Media	29586-129	Q9BTL3	RAMAC	ENSG00000169612	10.0	0.8	1.0	0.6	8.135069921042607	8.186201295665718			1	1	0
SomaScan	Media	29587-99	O15018	PDZD2	ENSG00000133401	10.0	1.0	1.0	1.0	6.204996492178283	6.204996492178283			1	1	1
SomaScan	Media	29588-56	Q13232	NME3	ENSG00000103024	10.0	0.6	0.6	0.6	7.47798326059547	7.5367418343737995			0	0	0
SomaScan	Media	29589-6	Q6GTS8	PM20D1	ENSG00000162877	10.0	1.0	1.0	1.0	7.023625799909247	7.023625799909247			1	1	1
SomaScan	Media	29593-160	O15240	VGF	ENSG00000128564	10.0	0.3	0.2	0.4	6.245784504147143	6.352813442564988			0	0	0
SomaScan	Media	29596-10	Q86TE4	LUZP2	ENSG00000187398	10.0	0.7	0.8	0.6	7.56244239058563	7.611383983861366			1	1	0
SomaScan	Media	29597-86	B9A064	IGLL5	ENSG00000254709	10.0	1.0	1.0	1.0	7.47941812294471	7.47941812294471			1	1	1
SomaScan	Media	29598-123	P25067	COL8A2	ENSG00000171812	10.0	0.4	0.2	0.6	6.580814113848005	6.675144361517191			0	0	0
SomaScan	Media	2960-66	P27918	CFP	ENSG00000126759	10.0	0.5	0.2	0.8	8.760558157448694	8.916624296056861			0	0	1
SomaScan	Media	29606-71	P0DP73|P0DP74	DEFB130B|DEFB130A		10.0	1.0	1.0	1.0	7.529673729946259	7.529673729946259			1	1	1
SomaScan	Media	29607-52	Q9H7Y0	DIPK2B	ENSG00000147113	10.0	0.3	0.4	0.2	6.900642641114065	7.103309448827642			0	0	0
SomaScan	Media	29608-69	Q9Y3T6	R3HCC1	ENSG00000104679	10.0	0.9	1.0	0.8	9.7179715234118	9.733566398223333			1	1	1
SomaScan	Media	29609-24	P0CJ68	MTRNR2L1		10.0	0.0	0.0	0.0	6.437639831017303				0	0	0
SomaScan	Media	2961-1	P04070	PROC	ENSG00000115718	10.0	1.0	1.0	1.0	9.13974765072355	9.13974765072355			1	1	1
SomaScan	Media	29612-34	P09093	CELA3A	ENSG00000142789	10.0	0.0	0.0	0.0	9.529556542385434				0	0	0
SomaScan	Media	29614-45	Q8NCC3	PLA2G15	ENSG00000103066	10.0	1.0	1.0	1.0	8.339796418247802	8.339796418247802			1	1	1
SomaScan	Media	29615-1	P02746	C1QB	ENSG00000173369	10.0	0.0	0.0	0.0	7.853637123829577				0	0	0
SomaScan	Media	29617-60	O95084	PRSS23	ENSG00000150687	10.0	1.0	1.0	1.0	8.016356149937057	8.016356149937057			1	1	1
SomaScan	Media	2962-50	P12272	PTHLH	ENSG00000087494	10.0	0.7	0.8	0.6	8.049214468401491	8.096750343896202			1	1	0
SomaScan	Media	29621-17	Q96S16	JMJD8		10.0	0.9	1.0	0.8	8.917085324472964	8.927498444964822			1	1	1
SomaScan	Media	29623-16	Q0P5P2	C17orf67	ENSG00000214226	10.0	0.1	0.0	0.2	7.053223245458237	7.187846909439575			0	0	0
SomaScan	Media	29624-41	Q9H8G2	CAAP1	ENSG00000120159	10.0	0.0	0.0	0.0	7.147491447229515				0	0	0
SomaScan	Media	29625-27	Q6H9L7	ISM2	ENSG00000100593	10.0	0.7	0.8	0.6	7.410990163393801	7.475760675707954			1	1	0
SomaScan	Media	29645-7	Q9BXK5	BCL2L13	ENSG00000099968	10.0	0.6	0.8	0.4	8.630724971058502	8.663929382471336			0	1	0
SomaScan	Media	29647-58	Q9Y2S7	POLDIP2	ENSG00000004142	10.0	1.0	1.0	1.0	9.049605030226942	9.049605030226942			1	1	1
SomaScan	Media	29649-38	Q9BT40	INPP5K	ENSG00000132376	10.0	0.4	0.2	0.6	6.610357119941559	6.664589906425173			0	0	0
SomaScan	Media	29655-21	Q9BWQ8	FAIM2	ENSG00000135472	10.0	1.0	1.0	1.0	7.231641702197367	7.231641702197367			1	1	1
